,CV_ID,Experience,Language Level - French,Match_ID,Status,4. CV sent to Client,4. Client initial validation date,7. Client final approval date,Gender,MatchStatus
0,1025,[0-1],B1,10551,A03 - Offer declined,2017-03-15,2017-03-17,2017-04-05,M,1.0
1,1045,[0-1],B1,10234,Rejected,,,,F,1.0
2,1045,[0-1],B1,10745,CV refused,2017-05-05,2017-05-05,,M,1.0
3,1045,[0-1],B1,10840,CV refused,2017-05-23,2017-05-23,,M,1.0
4,1045,[0-1],B1,10845,A03 - Offer declined,2017-05-23,2017-05-23,2017-06-30,F,1.0
5,1045,[0-1],B1,11124,Rejected,,,,M,1.0
7,1071,[0-1],A1,10567,A05 - Onboarding,2017-03-17,2017-03-17,2017-03-17,M,1.0
8,1081,[8+],,11753,A04b – Hiring Started / Contract signed,2018-02-06,2018-02-23,2018-03-19,M,1.0
13,1128,[2-4],C2,12390,A05 - Onboarding,2017-05-12,2017-05-13,2017-05-14,F,1.0
18,1134,[8+],A1,10193,Candidate refused,2017-01-03,2017-01-03,2017-01-11,M,1.0
19,1134,[8+],A1,11162,A05 - Onboarding,2017-08-07,2017-08-07,2017-08-18,M,1.0
26,1144,[0-1],,12429,A05 - Onboarding,2017-12-07,2017-12-07,2017-12-07,M,1.0
28,1169,[0-1],,12439,A05 - Onboarding,2017-12-08,2017-12-08,2017-12-08,F,1.0
50,1197,[8+],A2,12394,A05 - Onboarding,2017-03-14,2017-03-14,2017-03-14,F,1.0
84,12340,[8+],A1,12461,A03 - Process Cancelled,2017-05-13,2017-05-14,2017-05-15,F,1.0
85,12340,[8+],A1,12872,A04 - Hiring Request Started,2018-03-26,2018-03-26,2018-03-26,M,1.0
94,12521,[8+],A1,12860,A04b – Hiring Started / Contract signed,2018-03-29,2018-03-29,2018-03-26,M,1.0
100,12536,[0-1],,12738,A03 - Offer accepted,2018-03-20,2018-03-22,2018-03-28,M,1.0
116,12593,[0-1],,12594,A03 - Offer accepted,2018-02-28,2018-02-28,2018-03-23,M,1.0
117,12597,[2-4],,13047,A03 - Offer declined,2018-04-18,2018-04-18,2018-04-26,M,1.0
118,12597,[2-4],,13078,Candidate dropped out,2018-04-23,2018-04-27,2018-04-27,F,1.0
121,1260,[0-1],,12476,A03 - Offer declined,2018-03-14,2018-03-14,2018-03-14,F,1.0
124,12610,[2-4],A1,12389,A05 - Onboarding,2017-11-02,2017-11-02,2017-11-02,M,1.0
125,12611,[8+],A1,12398,A05 - Onboarding,2017-03-14,2017-03-14,2017-03-14,M,1.0
126,12612,[5-8],A1,12613,A05 - Onboarding,2018-03-07,2018-03-09,2018-03-23,M,1.0
127,12612,[5-8],A1,12825,Dropped out,2018-03-29,2018-04-03,,M,1.0
128,12612,[5-8],A1,12828,Dropped out,2018-03-29,2018-04-03,2018-04-03,M,1.0
129,12616,[5-8],,13051,A03 - Offer accepted,2018-04-11,2018-04-11,2018-04-17,F,1.0
130,12616,[5-8],,13165,CV dropped out,,,,F,1.0
131,12617,,A1,12940,Candidate validated,2018-04-03,2018-04-09,2018-05-02,M,1.0
132,12617,,A1,12948,Rejected,,,,M,1.0
133,12617,,A1,12982,CV refused,2018-04-09,2018-04-09,,M,1.0
134,12692,[0-1],,12414,A05 - Onboarding,2017-12-05,2017-12-05,2017-12-05,F,1.0
135,12693,[0-1],,12415,A05 - Onboarding,2017-12-05,2017-12-05,2017-12-05,M,1.0
136,12694,[0-1],,12416,A05 - Onboarding,2017-12-05,2017-12-05,2017-12-05,F,1.0
137,12695,[0-1],,12417,A05 - Onboarding,2017-12-05,2017-12-05,2017-12-05,F,1.0
138,12696,[0-1],,12419,A05 - Onboarding,2017-12-05,2017-12-05,2017-12-05,F,1.0
139,12697,[0-1],,12421,A05 - Onboarding,2017-12-20,2017-12-20,2017-12-20,M,1.0
140,12698,[0-1],,12426,A05 - Onboarding,2017-12-11,2017-12-11,2017-12-11,F,1.0
141,12699,[0-1],,12427,A05 - Onboarding,2017-12-07,2017-12-07,2017-12-07,M,1.0
142,12700,[0-1],,12428,A05 - Onboarding,2017-12-07,2017-12-07,2017-12-07,F,1.0
143,12701,[0-1],,12433,A05 - Onboarding,2017-12-18,2017-12-18,2017-12-18,F,1.0
144,12702,[0-1],,12434,A05 - Onboarding,2017-12-18,2017-12-18,2017-12-18,M,1.0
145,12703,[0-1],,12435,A05 - Onboarding,2017-12-18,2017-12-18,2017-12-18,F,1.0
146,12704,[0-1],,12436,A05 - Onboarding,2017-12-18,2017-12-18,2017-12-18,F,1.0
147,12705,[0-1],,12437,A05 - Onboarding,2017-12-18,2017-12-18,2017-12-18,M,1.0
148,12706,[0-1],,12440,A05 - Onboarding,2017-12-08,2017-12-08,2017-12-08,M,1.0
149,12707,[0-1],,12441,A05 - Onboarding,2017-12-08,2017-12-08,2017-12-08,F,1.0
150,12708,[0-1],,12442,A05 - Onboarding,2017-12-08,2017-12-08,2017-12-08,M,1.0
151,12709,[0-1],,12444,A05 - Onboarding,2017-12-01,2017-12-01,2017-12-01,M,1.0
152,12710,[0-1],,12447,A05 - Onboarding,2017-12-06,2017-12-06,2017-12-06,M,1.0
153,12711,[0-1],,12448,A05 - Onboarding,2017-12-06,2017-12-06,2017-12-06,F,1.0
154,12712,[0-1],,12449,A05 - Onboarding,2017-12-11,2017-12-11,2017-12-11,F,1.0
155,12713,[0-1],,12450,A05 - Onboarding,2017-12-04,2017-12-04,2017-12-05,F,1.0
156,12714,[0-1],,12451,A05 - Onboarding,2017-12-04,2017-12-04,2017-12-04,M,1.0
157,12715,[0-1],,12464,A03 - Process Cancelled,2017-08-15,2017-08-15,2017-08-15,M,1.0
158,12716,[0-1],,12466,A03 - Process Cancelled,2017-08-14,2017-08-15,2017-08-15,M,1.0
159,12717,[0-1],,12467,A03 - Process Cancelled,2017-08-09,2017-08-14,2017-08-15,M,1.0
160,12718,[0-1],,12468,A03 - Process Cancelled,2017-08-13,2017-08-14,2017-08-15,F,1.0
161,12719,[0-1],,12470,A03 - Process Cancelled,2017-08-13,2017-08-14,2017-08-15,F,1.0
164,12732,[0-1],A2,12408,A05 - Onboarding,2018-03-14,2018-03-14,2018-03-14,M,1.0
165,12734,[0-1],,12452,A05 - Onboarding,2018-03-14,2018-03-14,2017-10-12,F,1.0
166,12736,[0-1],C2,12411,A05 - Onboarding,2018-03-14,2018-03-14,2018-03-14,F,1.0
167,12737,[0-1],A1,12453,A03 - Process Cancelled,2017-06-13,2017-06-14,2017-06-15,M,1.0
168,12757,[8+],,12939,A01 - Offer Preparation Started,2018-04-03,2018-04-09,2018-04-16,F,1.0
218,12983,,,13021,Candidate validated,2018-04-09,2018-04-10,2018-05-03,F,1.0
227,13042,[5-8],A1,13164,Dropped out,2018-04-23,2018-04-24,,M,1.0
228,13042,[5-8],A1,13176,Candidate dropped out,2018-04-23,2018-04-24,2018-04-24,M,1.0
229,13042,[5-8],A1,13177,A03 - Offer declined,2018-04-18,2018-04-18,2018-04-24,M,1.0
230,1305,[8+],B2,10044,Rejected,,,,M,1.0
231,1305,[8+],B2,10068,Rejected,,,,M,1.0
232,1305,[8+],B2,10211,A03 - Offer declined,2017-01-23,2017-01-23,2017-02-10,F,1.0
235,13095,[8+],,13158,Candidate validated,2018-04-18,2018-04-19,2018-05-03,M,1.0
236,1310,[8+],A1,10029,Rejected,,,,M,1.0
237,1310,[8+],A1,10058,Rejected,,,,F,1.0
238,1310,[8+],A1,10202,A05 - Onboarding,2017-01-03,2017-01-03,2017-01-10,M,1.0
248,1317,[8+],B1,10232,T01- Terminated,2017-01-18,2017-01-18,2017-02-01,M,1.0
275,1384,[5-8],A2,10222,CV refused,2017-01-25,2017-01-25,,M,1.0
276,1384,[5-8],A2,10264,A03 - Process Cancelled,2017-01-31,2017-01-31,2017-02-01,M,1.0
279,1386,[8+],A2,10201,A03 - Offer declined,2017-01-03,2017-01-03,2017-01-10,M,1.0
295,1396,[0-1],,10101,Rejected,,,2018-03-30,F,1.0
296,1396,[0-1],,12480,D01 – Resignation,2017-12-05,2017-12-06,2017-12-07,M,1.0
309,1406,[8+],B2,10013,A05 - Onboarding,2017-01-03,2017-01-04,2017-01-17,M,1.0
310,1407,[8+],B2,10022,CV refused,2017-01-03,2017-01-04,,M,1.0
311,1407,[8+],B2,11276,A03 - Process Cancelled,2017-09-19,2017-09-28,2017-10-26,M,1.0
324,1446,[0-1],,12477,A03 - Offer declined,2018-03-14,2018-03-14,2018-03-14,F,1.0
326,1488,[8+],C2,10177,Candidate refused,2017-01-11,2017-01-11,2017-02-07,M,1.0
327,1488,[8+],C2,10374,T01- Terminated,2017-02-09,2017-02-09,2017-02-09,F,1.0
328,1491,[0-1],A2,10069,Rejected,,,,M,1.0
329,1491,[0-1],A2,10205,Rejected,,,,M,1.0
330,1491,[0-1],A2,12407,A05 - Onboarding,2017-03-14,2017-03-14,2017-03-14,M,1.0
334,1529,[0-1],,12431,A05 - Onboarding,2017-12-07,2017-12-07,2017-12-07,F,1.0
341,1557,[0-1],,12430,A05 - Onboarding,2017-12-07,2017-12-07,2017-12-07,M,1.0
352,1582,[8+],C1,10237,A05 - Onboarding,2017-01-18,2017-01-18,2017-02-07,M,1.0
353,1582,[8+],C1,10269,Candidate dropped out,2017-01-11,2017-01-11,2018-04-06,M,1.0
361,1599,[8+],A1,10218,Candidate dropped out,2017-01-11,2017-01-11,2018-04-09,F,1.0
362,1599,[8+],A1,10267,D01 – Resignation,2017-01-10,2017-01-10,2017-01-20,F,1.0
365,1613,[8+],C2,10322,A05 - Onboarding,2017-01-27,2017-01-27,2017-02-01,F,1.0
366,1619,[8+],B2,10043,A05 - Onboarding,2017-01-12,2017-01-13,2017-02-10,F,1.0
370,1622,[8+],B1,10047,A05 - Onboarding,2017-01-12,2017-01-20,2017-06-19,F,1.0
372,1624,[8+],A2,10179,A05 - Onboarding,2017-01-17,2017-01-18,2017-01-18,F,1.0
373,1624,[8+],A2,10219,Candidate dropped out,2017-01-11,2017-01-11,2018-04-03,M,1.0
374,1624,[8+],A2,10268,Rejected,,,,F,1.0
387,1635,[2-4],B1,10119,Candidate refused,2017-01-10,2017-01-10,2017-01-13,F,1.0
388,1635,[2-4],B1,10215,Rejected,,,,M,1.0
389,1635,[2-4],B1,10236,A05 - Onboarding,2017-01-10,2017-01-10,2017-01-17,F,1.0
