CV_ID,Experience,Language Level - French,Match_ID,Status,4. CV sent to Client,4. Client initial validation date,7. Client final approval date,MatchStatus,response_time,decision_time,Gender
369,[8+],A1,498,A05 - Onboarding,2018-02-22,2018-02-22,2018-02-23,1,0 days 00:00:00.000000000,1 days 00:00:00.000000000,M
374,[8+],A1,11653,CV refused,2018-01-09,2018-01-10,,0,1 days 00:00:00.000000000,,F
374,[8+],A1,11657,CV refused,2018-01-09,2018-01-23,,0,14 days 00:00:00.000000000,,F
374,[8+],A1,11769,Approved,,,,0,,,F
374,[8+],A1,385,A03 - Offer declined,2018-01-30,2018-01-30,2018-02-16,1,0 days 00:00:00.000000000,17 days 00:00:00.000000000,F
376,[5-8],A1,11532,Rejected,,2018-03-27,2018-03-27,0,,0 days 00:00:00.000000000,M
376,[5-8],A1,11533,CV refused,2017-11-28,2017-12-12,,0,14 days 00:00:00.000000000,,M
376,[5-8],A1,11535,Rejected,,,,0,,,M
376,[5-8],A1,11771,Approved,,,,0,,,M
376,[5-8],A1,384,A03 - Offer declined,2018-01-30,2018-01-30,2018-02-19,1,0 days 00:00:00.000000000,20 days 00:00:00.000000000,M
402,[0-1],A1,11091,A03 - Offer declined,2017-07-27,2017-07-27,2017-08-08,1,0 days 00:00:00.000000000,12 days 00:00:00.000000000,F
402,[0-1],A1,11585,Rejected,,,,0,,,F
402,[0-1],A1,11587,CV refused,2017-12-12,,,0,,,F
402,[0-1],A1,11955,A03 - Offer declined,2018-03-23,2018-03-23,2017-08-08,1,0 days 00:00:00.000000000,-227 days +00:00:00.000000000,F
460,[5-8],A1,11612,CV refused,2017-12-19,2018-03-07,,0,78 days 00:00:00.000000000,,F
460,[5-8],A1,11652,A03 - Offer declined,2018-02-22,2018-02-22,2018-03-01,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,F
466,[0-1],A1,12405,A05 - Onboarding,2017-03-14,2017-03-14,2017-03-14,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
468,[8+],A1,11476,A05 - Onboarding,2017-11-17,2018-01-17,2018-02-27,1,61 days 00:00:00.000000000,41 days 00:00:00.000000000,M
468,[8+],A1,11558,Candidate dropped out,2017-12-05,2017-12-11,2018-04-03,0,6 days 00:00:00.000000000,113 days 00:00:00.000000000,M
527,[5-8],A1,11609,CV refused,,,,0,,,F
527,[5-8],A1,11623,A01 - Offer Preparation Started,2018-01-05,2018-01-09,2018-03-23,1,4 days 00:00:00.000000000,73 days 00:00:00.000000000,F
552,[2-4],A1,9984,A03 - Offer declined,2016-11-23,2016-11-23,2016-12-01,1,0 days 00:00:00.000000000,8 days 00:00:00.000000000,F
565,[5-8],A2,10130,CV refused,2016-11-22,2016-12-20,,0,28 days 00:00:00.000000000,,M
565,[5-8],A2,10243,A05 - Onboarding,2016-12-21,2016-12-21,2017-01-12,1,0 days 00:00:00.000000000,22 days 00:00:00.000000000,M
573,[8+],A2,10106,D01 – Resignation,2016-11-25,2016-11-25,2016-12-12,1,0 days 00:00:00.000000000,17 days 00:00:00.000000000,M
578,[8+],B2,10110,A05 - Onboarding,2016-11-25,2016-11-25,2016-12-05,1,0 days 00:00:00.000000000,10 days 00:00:00.000000000,F
